time [s],Oxidizer mass flow rate [g/s],Thrust [N],Chamber pressure [MPaG]
t,mox,F,Pc
3.625,4.61507088,0,0.163231
3.63,4.66171104,0,0.162778
3.635,4.6688866,0,0.163231
3.64,4.63659707,0,0.16157
3.645,4.67606216,0,0.162929
3.65,4.67606216,0,0.161419
3.655,4.61507088,0,0.162325
3.66,4.6868255,0,0.162325
3.665,4.65453597,0,0.160362
3.67,4.66171104,0,0.162023
3.675,4.70476391,0,0.162023
3.68,4.66171104,0,0.161419
3.685,4.64018485,0,0.161872
3.69,4.65812375,0,0.16308
3.695,4.6688866,0,0.16308
3.7,4.67247438,0,0.16308
3.705,4.69041279,0,0.164439
3.71,4.66171104,0,0.162023
3.715,4.65453597,0,0.164439
3.72,4.65453597,0,0.163533
3.725,4.66171104,0,0.162174
3.73,4.66529882,0,0.16308
3.735,4.65812375,0,0.161721
3.74,4.67964994,0,0.163231
3.745,4.629422,0,0.161721
3.75,4.63300929,0,0.162174
3.755,4.69400057,0,0.162174
3.76,4.66529882,0,0.162174
3.765,4.65094819,0,0.164137
3.77,4.68323772,0,0.172442
3.775,4.64736041,0,0.173499
3.78,4.61507088,0,0.174103
3.785,4.66171104,0,0.17667
3.79,4.64018485,0,0.171234
3.795,4.67606216,0,0.172593
3.8,4.68323772,0,0.173046
3.805,4.66171104,0,0.168516
3.81,4.61507088,0,0.169724
3.815,4.65094819,0,0.168365
3.82,4.65812375,0,0.166855
3.825,4.66171104,0,0.16761
3.83,4.66171104,0,0.166704
3.835,4.66171104,0,0.165647
3.84,4.66171104,0,0.166704
3.845,4.60789532,0,0.165949
3.85,4.6688866,0,0.165798
3.855,4.66529882,0,0.165949
3.86,4.66529882,0,0.1661
3.865,4.70117613,0,0.166251
3.87,4.66529882,0,0.165647
3.875,4.61865866,0,0.163986
3.88,4.63659707,0,0.164741
3.885,4.66529882,0,0.163835
3.89,4.6688866,0,0.162627
3.895,4.64736041,0,0.163986
3.9,4.67606216,0,0.164137
3.905,4.65812375,0,0.164892
3.91,4.60430754,0,0.165043
